,0
0,저장만 해놓고 매번 못가다가 이제야 방문해봤는데 진작 가볼걸 그랬네요.... 마제소바 빨간맛이랑 우삼겹덮밥 먹었는데 둘다 정말 맛있었고 두 메뉴의 조화가 좋았아요!☺️ 혼밥할 수 있는 바도 있어서 혼자 드시러 오는 분도 많으시더라고요. 주방도 오픈주방인데 깨끗해보여서 더 좋았어요. 자주 갈게요👍🏻👍🏻
1,"와 그동안 제가 가본 라멘집 중에 가장 맛있었습니다 ㅜㅜㅜ 완전 인생 라멘집 될 것 같아요.🥺💖탄탄면이랑 마제소바를 시켰는데 마제소바 면 정말 
쫄깃하고 재료도 듬뿍 들어있어서 너무 맛있었어요. 탄탄면은 다른 곳 보다 면이 살짝 얇아서 간이 완전 잘 맞았고 국물이 매콤한게 진짜 장난아니었습
니다 😍 치킨난반은 바삭바삭하고 육즙이 가득했구요. 닭껍질 만두는 처음 먹어봤는데 안쪽이 야들야들하고 겉은 바삭한게 존맛탱이었습니다 ..."
2,일요일 저녁 6시쯤 방문하니 15분정도 웨이팅이 있었습니다! 두번째 방문이였는데 탄탄은 이전보다 약간 칼칼해졌달까 어쨋든 더 맛있어졌고 교자랑 난반도 뭐하나 튀는거 없이 너무 좋았습니다 항상 친절하시고 가볍게 데이트하기 좋으니 다들 라쿠라쿠하세요:)
3,역 근처 맛집 드디어 방문! 차슈덮밥 고기 부드럽고 맛있어서 정신없이 먹었어요 퇴근 후 생맥주와 같이 든든하고 만족스러운 식사였습니다!
4,"여기 진짜 맛도리네요 근처 순대국집 갈려다가  발견하고 온건데 여기오러 이동네를 와도 후회하지 않을거같습니다! 담엔 꼭 탄탄 멘 먹을거에요!  닭껍
질 교자도 너무 맛도리인데, 속을 뭘로 채우신 건지 궁금함 신기한 맛이었습니다!  빠삭하고 넘 맛있어요 잡내도 없고요!  차슈도 불맛가득해서 좋았습니
가❤️😃"
5,라쿠라쿠 탄탄멘을 좋아해서 거의 매주 방문하다 오랜만에 갔는데 변치않는 맛있음ㅠ 조금 매울 수 있는데 자꾸 찾게되는 맛있는 매움이예요. 사람들에게 많이 알려지면 좋겠다가도 나만알고싶은 맛집이예요. 잘먹었습니다🥺
6,"여기 음식 다 맛있어요!
일요일 12시에 딱 갔더니 웨이팅 없이 들어갔는데 먹고 나올때는 웨이팅 인원이 많더라고요ㅎㅎ 기분좋게 맛있게 잘 먹고 왔어요~!"
7,"찾았다. 내 인생라멘. 마제소바 첫 도전인데 너무 맛있어요... 면이 어떻기 이렇게 쫄깃쫄깃하죠?!!???! 미쳤어여ㅠㅠ 계란도 완벽한 반숙입니다ㅠㅠ 탄
탄멘은 말할 것도 없어요.. 라쿠라쿠에서 탄탄멘 처음 먹어본건데 너무 맛있어서 꾸준히 먹으러 옵니다 ㅠㅠ 원래 집에서 10분 넘는 거리 음식점 안 다니
는데 멀어도 꾸준히 가는 곳은 여기가 유일합니다..  참,, 가라아게도 꼭 드세요. 저 특제소스 먹고싶어서 저는 조만간 또 갈거에요,,"
8,"구디쪽에서 일할때 사무실로 배달 시켜먹었는데 너무 맛있었어요. 면이 쫄깃하고 소스도 맛나고 유자단무지도 최고… 회사 옮기고 너무 생각났는데 근
처에 온 김에 방문해서 먹었습니다. 배달해도 맛있는데 매장에서 먹으니 더 맛있어요. 벗꽃도 피고 날이 좋아서 생맥주도 시켰는데 거품이 이렇게 부드
러울수가.. 유자 단무지랑 궁합도 최고이구요!!! 닭껍질교자도 맛있어요^^ 옆에 카페도 맛있고 마제소바는 여기가 단연 최고예요!!"
9,"지난번에도 와서 먹어봤는데 넘 맛있어서 이번에도 또 방문했어요ㅎㅎ 혼자와서 밥먹기도 좋은곳이네요~ 일단 넘 맛있구, 메뉴도 다양해서 올때마다 
새로운 메뉴 먹고 있는데 다 맛있어요>0< 앞으로도 자주 올께요~!"
