ID,Commet,words2
oliver_travel_,"📢 인스타그램 무료 라이브(LIVE) 클래스 안내 (팔로우 후 댓글에 ‘라이브’를 적어보세요)  약 1년만에 50만 크리에이터가 되며 깨달은 진짜 전략과 정보를 알려드립니다‼️  안녕하세요! 팔로워 여러분들! 지난 1기를 모집하고 이후 추가모집에 대한 문의가 쇄도해 이렇게 다시 2기를 모집하게 됐습니다 :) (관련 내용은 라이브 때 말씀드릴게요!)  여러분도 아시다시피 인스타그램에 관한 정말 많은 정보들이 있어요.  하지만 들어보면 진짜 알고리즘이나 로직에 대한 이야기 보다 너무나도 당연한 이야기, 뜬구름 잡는 이야기, 또한 전략이랍시고 자극적인 멘트나 후킹, 릴스 조회수 늘리는 방법만 알려주며 크리에이터와 팔로워분들의 계정을 진심으로 생각하는 전략은 아닌경우가 많더라구요 😅 (물론 조회수가 무조건적인 도움이 되는 경우도 있습니다)  저는 SNS를 참으로 싫어했던 사람이었어요💢 꾸며진 모습만 보이는 것도 싫었고 자극적인 것만 보이는 것도 싫구요  여러분들이 그렇게 무분별하게 ”성장만“ 하는방법에 휘둘리며, 잠깐 릴스 노출이 되고, 성장이 되더라도 결국 지치게 되는 모습에 저는 그 이상의 무언가를 보여드려야겠다는 생각을 했어요 찐으로 전략을 알고 자기 자신을 알아 브랜드계정으로 성장하는 방법을 알려드리고 싶었어요.  결국 행복도 내 자신이 만족해야 행복이잖아요. 그리고 아무리 잘 되는 일도 내가 즐길 수 있어야 오래할 수 있구요🩵  팔로워 10만일 때, 20만일 때 언제든지 이런 강의를 열 수 있었지만 열지 않았어요. 저도 게시물을 올리며 계속해서 알고리즘을 테스트했고, 로직을 실험했고, 확신이 들어 강의를 열게 되었습니다🎁  수강하신 많은 분들께서 벌써 팔로워는 물론이고 해외여행을 지원받고 브랜드에 연락받아 공구와 광고로 수익을 함께 내고 있습니다 :)  ====================  한국인 94%로 구성된 60만 팔로워는 많지 않습니다. 저는 그동안 단 한명의 팔로워도, 좋아요도 사지 않았습니다. 그리고 누구보다 대한민국에서 가장 빠르게 60만 팔로워로 성장했다고 자신있게 말씀드릴 수 있습니다. (한국인팔로워기준, 연예인, TV방송출연자 제외)  저는 인스타그램 ”성장전략만“ 알려드리지 않습니다. 여러분들의 계정을 진심으로 생각하지 않은 ”벤치마킹하세요“, ”후킹멘트쓰세요.“ 라는 말에만 너무 집중하지 않았으면 좋겠어요. 물론 처음에는 필요한 부분이지만 시간이 지나면 지치게되고, 현타옵니다.  28일(일) 여러분들께 어디서도 듣지 못했던, 기똥차면서도 진심이 담긴, 획기적인 인스타 클래스를 무료 라이브로 진행합니다!  저 하나가 이렇게 한다고 해서 SNS시장이 절대 변화하지 않겠지만 크리에이터라면, 크리에이터를 꿈꾸는 분들이라면, SNS로 부업, 전업을 하거나 올 한해 뭔가 새로운 변화를 이루어내고 싶은 사람이라면 누구나 꼭 들어주셨으면 좋겠습니다! 🐣⭐️  ====================  ✅ 장소 : 온라인 ✅ 날짜 : 24.07.28 (일요일) 20~22시 (2시간) ✅ 인원 : 최소 1천명 이상 ✅ 대상 : - 이제는 SNS를 통해 새로운 삶을 살아보고 싶거나, 협찬받으면서 여행다니거나, 부업을 원하시는 분들 - 인스타그램 계정 성장하고 싶지만 갈피를 못잡으시는 분들 - 컨텐츠 조회수는 나오지만 팔로워가 늘지 않는 분들 - 팔로워 N만명 대에서 정체기를 겪고계신 분들 - 인태기를 겪으며 슬럼프에서 빠져나오지 못하고 있으신 분들 - 인스타를 통해 제대로된 수익화를 해보고 싶으신 분들 - 인스타를 통해 나를 브랜딩(퍼스널브랜딩)하고싶으신 분들 - 대기업 등 다양한 브랜드와 협업하는 계정으로 성장하고 싶은 분들 - 잠깐 성장하고 멈추는게 아닌, 오랫동안 즐기면서 행복하게 콘텐츠를 만들고 싶으신 분들  ✅ 신청방법 - 올리버여행기 @oliver_travel_ 팔로우 - “라이브” 단어가 들어간 댓글을 적으시면 단톡방으로 초대가 되며, 그곳에서 라이브 링크가 전달될 예정입니다!","['인스타그램', '무료', '라이브', '클래스', '안내', '팔로우', '댓글', '라이브', '크리에이터', '깨달', '진짜', '전략', '정보', '팔로워', '여러분', '지난', '모집', '이후', '추가', '모집', '대한', '문의', '쇄도', '다시', '모집', '관련', '내용', '라이브', '여러분', '인스타그램', '정말', '정보', '진짜', '알고리즘', '로직', '대한', '이야기', '이야기', '뜬구름', '이야기', '또한', '전략', '랍시고', '자극', '멘트', '후킹', '릴스', '회수', '방법', '크리에이터', '팔로워', '계정', '진심', '생각', '전략', '경우', '조회', '수가', '무조건', '도움', '경우', '참으로', '사람', '모습', '자극', '여러분', '무분별', '성장', '방법', '둘리', '잠깐', '릴스', '노출', '성장', '모습', '이상', '무언가', '생각', '전략', '자기', '자신', '브랜드', '계정', '방법', '행복', '자신', '행복', '일도', '팔로워', '언제', '강의', '게시', '계속', '알고리즘', '테스트', '로직', '실험', '확신', '강의', '수강', '벌써', '팔로워', '해외여행', '지원', '브랜드', '연락', '공구', '광고', '수익', '한국인', '구성', '팔로워', '그동안', '명의', '팔로워', '요도', '사지', '누구', '대한민국', '가장', '팔로워', '한국인', '팔로워', '기준', '연예인', '방송출연', '제외', '인스타그램', '성장', '전략', '여러분', '계정', '진심', '생각', '벤치마킹', '후킹', '멘트', '집중', '처음', '부분', '시간', '여러분', '어디', '서도', '진심', '획기', '인스타', '클래스', '무료', '라이브', '진행', '하나', '시장', '절대', '변화', '크리에이터', '라면', '크리에이터', '부업', '전업', '거나', '한해', '뭔가', '변화', '사람', '라면', '누구', '장소', '온라인', '날짜', '일요일', '인원', '최소', '이상', '대상', '이제', '통해', '보고', '협찬', '여행', '부업', '인스타그램', '계정', '갈피', '컨텐츠', '회수', '팔로워', '팔로워', '정체', '태기', '슬럼프', '인스타', '통해', '제대로', '수익', '인스타', '통해', '브랜딩', '퍼스', '브랜딩', '대기업', '브랜드', '협업', '계정', '잠깐', '콘텐츠', '신청', '방법', '올리버', '여행기', '팔로우', '라이브', '단어', '댓글', '톡방', '초대', '라이브', '링크', '전달', '예정']"
kelly__holy,라이브,['라이브']
janenstory,라이브,['라이브']
yeahzeans,라이브👏🙌,['라이브']
ralph_kim_,라이브,['라이브']
dailyparty,라이브👍👍,['라이브']
gunsan_alley_house,라이브 방송에 초대받고 싶습니다,"['라이브', '방송', '초대']"
yun0_travelplanner,라이브!,['라이브']
no.1_ha_na,라이브 🥹,['라이브']
chansong_ann,라이브❤️,['라이브']
dazzle.7235,라이브,['라이브']
dal_pic_land,라이브,['라이브']
mocagraphy,라이브,['라이브']
hyem.tori,라이브,['라이브']
kong_man_,라이브,['라이브']
ssssseul9__9,라이브,['라이브']
hoon2trip,"📦@박스 안에 꾸겨져있을 친구 태그🔻캡션참조  👉🏽 준비물 : 삼각대, 박스, ✨유연성✨  📸 촬영법: - 박스와 삼각대를 한 장소에 고정 - 박스 안에 들어가서 사진 찍기 - 다양한 포즈, 소품 연출이 포인트! 🍊 - 사진 편집 앱으로 자르기  📍노들섬 @nodeul_island","['박스', '친구', '태그', '캡션', '참조', '준비물', '삼각대', '박스', '유연성', '촬영', '박스', '삼각대', '장소', '고정', '박스', '사진', '찍기', '포즈', '소품', '연출', '포인트', '사진', '편집', '노들섬']"
ddu.gyu_edit,포즈랑 표정까지 너무 멋진데요!! 친구들이랑 해보고 싶..은데 같이할 친구가 없네요🤣,"['포즈', '표정', '친구', '친구']"
travel_love.road,와우~너무 자연스러움~저런곳에 사는거 같네요~😂,['와우']
geongik,이거 진짜 아이디어 미쳤다 ㅋㅋㅋㅋ 이번년도 최고의 단체사진,"['진짜', '아이디어', '이번', '년도', '최고', '단체사진']"
stylecooca,저 아랫집인데요. 너무 쿵쿵 거려서요. 조금만 조용히 해 주시면 안될까요?,"['거려', '서요', '조금', '주시']"
hxzelnxt.pixel,this legit looks like a good sitcom cover 😭,
iampact,이거 바로 갑니다,['바로']
oliver_travel_,이거 찍는 자체만으로 특별한 추억이어서 넘 좋았다!,"['자체', '추억']"
songpaguard,아이디어가 넘 좋은 것 같아서 댓글 남겨요!,"['아이디어', '댓글']"
y._hyunjung,헐 대박.. 넘 신기해요!! 아이디어 대박,"['대박', '아이디어', '대박']"
sheri.morenoooo,WAIT THAT IS SO COOL 😭 I love those results,
5oigu_,@leenagyung96 @got_dambi 누끼는 내가 딸게...,[]
hur_jeongwoo,@j.byunggil0220 이건 편집을 너무 잘 했는데..?,"['이건', '편집']"
_so_jelly,@h1_.zin 이번엔 이거다,['이번']
sini_724,@yuuuujn23 @jjye_lee 우리 이거 해보자,['우리']
_jeniius,@realxeungyeon @sang__ikkk 우리다음사진,"['우리', '다음', '사진']"
oliver_travel_,"팔로워분들께 보내는 편지 💌  올 한해 정말 많은 일들이 일어났고 더불어 정말 많은 사랑을 받았던 것 같아 만감이 교차하네요!ㅎㅎ  이것은 저 혼자만 해서 된 것도 아니고, 이 길을 닦아주신 많은 크리에이터 선배님들의 도움과 스승님들의 가르침, 릴리의 서포트, 그리고 팔로워분들의 응원이 있었기 때문입니다.  사실 너무 짧은 시간 안에 급성장을 했기에, 아직 경험하고 여행하며 도전하고 싶은 게 산더미입니다! 그래서 더 시간을 쪼개 배로 노력하기로 했습니다🙏🏻  진심을 조금이나 전하고 싶어 편지 몇 자 적어봤습니다! 진짜 올 한해가 인생중 제일 시간이 빠르게 흘렀던거 같아요...ㄷㄷ 벌써 12월이라니?!  내년에는 이런 성장을 하며 깨달은 실질적인 노하우들을 많이 공유하고, 네트워킹 할 수 있는 자리를 다양하게 만들어보고, 릴리와 함께 기똥차게 여행하는 모습들도 많이 보여드리도록 할게요 :)  여러가지 새롭고 기똥찬 것들을 기획중입니다!! 많은 관심 부탁드립니다🫡  감사합니다! 🩵  ===========================  ✔️프로필링크 - 스마트폰 사진/보정/영상/인스타 온라인 클래스 1월 오픈예정 - 제주도 올인원지도 - 여행 클래스, 문화센터 및 기업 강연신청 - 인스타360, 삼각대, 방수케이스 정보  ------------------------------ #올리버여행기 © Oliver_Travel_ 2023  Dear my followers 💌  A lot of things happened this year. I think we received a lot of love as well I have mixed feelings  I didn't do this alone. Thanks to the help of many creators who paved the way. It was because of the teachers' teaching, Lily's support, and the support of her followers.  In fact, it grew so fast in such a short period of time, I still have a lot to learn from experience! So I decided to spend more time and double my efforts 🙏🏻  I wrote a letters because I wanted to convey my true feelings! I think this year was the fastest time of my life...It's already December?!  Next year, we will share a lot of practical know-how that we realized through this growth, I want to make various places for networking, and I'll show you a lot of amazing trips with Lily as well 🙂  We're planning a lot of new and amazing things!! Please show a lot of interest. 🫡 Thank you! 🩵","['팔로워', '편지', '한해', '정말', '정말', '사랑', '교차', '혼자', '크리에이터', '선배', '도움', '스승', '가르침', '릴리', '포트', '팔로워', '응원', '때문', '사실', '시간', '급성', '경험', '여행', '도전', '산더미', '시간', '노력', '진심', '조금', '전하', '편지', '진짜', '한해', '인생', '제일', '시간', '벌써', '내년', '성장', '깨달', '실질', '노하우', '공유', '네트워킹', '자리', '보고', '릴리', '여행', '모습', '여러가지', '똥찬', '기획', '관심', '프로필', '링크', '스마트폰', '사진', '보정', '영상', '인스타', '온라인', '클래스', '오픈', '예정', '제주도', '올인원', '지도', '여행', '클래스', '문화센터', '기업', '강연', '신청', '인스타', '삼각대', '방수', '케이스', '정보']"
